performer_name,longitude,latitude,style,location_name,county,state
Mississippi Fred McDowell,-90.049,35.1495,Mississippi Hill Country Blues,Rossville,Fayette,Tennessee
Robert Johnson,-90.391389,31.865,Delta Blues,HazlehurstCopiah,,Mississippi
Blind Willie Johnson,-96.8925,31.306667,Gospel Blues,Marlin,Falls,Texas
Blind Boy Fuller,-79.760833,34.938611,Piedmont Blues,Rockingham,Richmond,North Carolina
